commune;column_6;column_2;column_3;column_4;column_5;commune_maj;province;province_maj
Belep;1996;923;347;339;1270;BELEP;province Nord;PROVINCE NORD
Dumbéa;1996;13888;31;0;13919;DUMBEA;province Sud;PROVINCE SUD
Farino;1996;279;0;0;279;FARINO;province Sud;PROVINCE SUD
Ile des Pins;1996;1671;530;524;2201;ILE DES PINS;province Sud;PROVINCE SUD
Lifou;1996;10007;7930;7888;17937;LIFOU;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Ouégoa;1996;2034;524;516;2558;OUEGOA;province Nord;PROVINCE NORD
Ouvéa;1996;3974;2780;2766;6754;OUVEA;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Païta;1996;7780;863;236;8643;PAITA;province Sud;PROVINCE SUD
Ponérihouen;1996;2691;920;785;3611;PONERIHOUEN;province Nord;PROVINCE NORD
Poum;1996;1320;376;315;1696;POUM;province Nord;PROVINCE NORD
Poya;1996;2522;226;220;2748;POYA;province Nord,province Sud;PROVINCE NORD,PROVINCE SUD
Sarraméa;1996;486;183;182;669;SARRAMEA;province Sud;PROVINCE SUD
Thio;1996;2614;291;282;2905;THIO;province Sud;PROVINCE SUD
Voh;1996;1942;384;375;2326;VOH;province Nord;PROVINCE NORD
Kouaoua;1996;1524;215;208;1739;KOUAOUA;province Nord;PROVINCE NORD
Belep;2014;843;758;722;1601;BELEP;province Nord;PROVINCE NORD
Canala;2014;3687;2182;2018;5869;CANALA;province Nord;PROVINCE NORD
Dumbéa;2014;31812;478;0;32290;DUMBEA;province Sud;PROVINCE SUD
Hienghène;2014;2483;1414;1335;3897;HIENGHENE;province Nord;PROVINCE NORD
Kaala-Gomen;2014;2033;497;430;2530;KAALA-GOMEN;province Nord;PROVINCE NORD
Lifou;2014;9275;13560;13177;22835;LIFOU;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Nouméa;2014;99926;1983;0;101909;NOUMEA;province Sud;PROVINCE SUD
Ouvéa;2014;3374;4928;4824;8302;OUVEA;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Païta;2014;20616;967;316;21583;PAITA;province Sud;PROVINCE SUD
Ponérihouen;2014;2370;1783;1677;4153;PONERIHOUEN;province Nord;PROVINCE NORD
Pouembout;2014;2591;281;71;2872;POUEMBOUT;province Nord;PROVINCE NORD
Poya;2014;3036;505;440;3541;POYA;province Nord,province Sud;PROVINCE NORD,PROVINCE SUD
Yaté;2014;1747;936;917;2683;YATE;province Sud;PROVINCE SUD
Belep;2019;867;852;818;1719;BELEP;province Nord;PROVINCE NORD
Canala;2019;3701;2327;2284;6028;CANALA;province Nord;PROVINCE NORD
Farino;2019;712;6;0;718;FARINO;province Sud;PROVINCE SUD
Houailou;2019;3955;2198;2065;6153;HOUAILOU;province Nord;PROVINCE NORD
Koné;2019;8144;1078;918;9222;KONE;province Nord;PROVINCE NORD
Maré;2019;5757;7578;7407;13335;MARE;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Mont-Dore;2019;27620;720;498;28340;MONT-DORE;province Sud;PROVINCE SUD
Nouméa;2019;94285;1797;0;96082;NOUMEA;province Sud;PROVINCE SUD
Ouvéa;2019;3401;5296;5217;8697;OUVEA;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Pouembout;2019;2752;537;125;3289;POUEMBOUT;province Nord;PROVINCE NORD
Poya;2019;2802;582;531;3384;POYA;province Nord,province Sud;PROVINCE NORD,PROVINCE SUD
Sarraméa;2019;572;357;349;929;SARRAMEA;province Sud;PROVINCE SUD
Yaté;2019;1667;1027;1017;2694;YATE;province Sud;PROVINCE SUD
Belep;2004;930;301;293;1231;BELEP;province Nord;PROVINCE NORD
Bourail;2004;4764;987;343;5751;BOURAIL;province Sud;PROVINCE SUD
Koumac;2004;3002;530;290;3532;KOUMAC;province Nord;PROVINCE NORD
Nouméa;2004;90775;1510;0;92285;NOUMEA;province Sud;PROVINCE SUD
Ouégoa;2004;2114;737;718;2851;OUEGOA;province Nord;PROVINCE NORD
Ouvéa;2004;4359;3077;3060;7436;OUVEA;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Poum;2004;1390;456;381;1846;POUM;province Nord;PROVINCE NORD
Thio;2004;2743;368;359;3111;THIO;province Sud;PROVINCE SUD
Voh;2004;2240;454;391;2694;VOH;province Nord;PROVINCE NORD
Yaté;2004;1843;493;488;2336;YATE;province Sud;PROVINCE SUD
Dumbéa;2009;24103;328;0;24431;DUMBEA;province Sud;PROVINCE SUD
Farino;2009;598;2;0;600;FARINO;province Sud;PROVINCE SUD
Ile des Pins;2009;1969;834;739;2803;ILE DES PINS;province Sud;PROVINCE SUD
Moindou;2009;704;119;112;823;MOINDOU;province Sud;PROVINCE SUD
Ouvéa;2009;3392;4592;4421;7984;OUVEA;province des îles Loyauté;PROVINCE DES ÎLES LOYAUTÉ
Poindimié;2009;4818;1424;992;6242;POINDIMIE;province Nord;PROVINCE NORD
Poum;2009;1388;585;503;1973;POUM;province Nord;PROVINCE NORD
Sarraméa;2009;636;217;211;853;SARRAMEA;province Sud;PROVINCE SUD
Touho;2009;2247;916;726;3163;TOUHO;province Nord;PROVINCE NORD
Bourail;2009;4999;890;349;5889;BOURAIL;province Sud;PROVINCE SUD
Canala;2009;3341;1784;1647;5125;CANALA;province Nord;PROVINCE NORD
Koné;2009;5199;1217;950;6416;KONE;province Nord;PROVINCE NORD
Koumac;2009;3690;444;205;4134;KOUMAC;province Nord;PROVINCE NORD
La Foa;2009;3323;431;196;3754;LA FOA;province Sud;PROVINCE SUD
Mont-Dore;2009;25683;500;341;26183;MONT-DORE;province Sud;PROVINCE SUD
Nouméa;2009;97579;1227;0;98806;NOUMEA;province Sud;PROVINCE SUD
Païta;2009;16358;845;307;17203;PAITA;province Sud;PROVINCE SUD
